caseid,policy_gun,policy_cappun,policy_pot,policy_prostitute,policy_healthcare,policy_taxcut,policy_affect,policy_nuke,policy_warming,policy_draft,pk_house,pk_senate,pk_ag,pk_senleader,pk_justice,pk_override,pk_nominate,pk_term,pk_conservparty,birthyr,gender,pid7,pid3_t,pid3,race,race_other,educ,marstat,employ,employ_t,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,religpew_t,religpew_protestant,ideo5,newsint,faminc,votereg,inputstate
152497860,6,1,6,4,6,6,6,1,6,6,2,1,4,2,5,2,1,4,1,1961,1,3,__NA__,3,1,__NA__,5,1,2,__NA__,2,4,6,7,2,__NA__,5,3,1,9,1,6
152504856,6,4,4,4,5,6,3,1,5,3,2,2,4,2,5,2,8,4,3,1963,2,4,__NA__,3,4,__NA__,5,5,1,__NA__,2,4,6,6,12,__NA__,90,3,1,7,1,53
152532537,1,6,4,4,6,6,3,3,5,3,2,2,4,2,4,2,1,2,2,1942,2,3,__NA__,3,1,__NA__,2,4,5,__NA__,1,2,5,1,1,__NA__,1,1,2,3,1,42
152538403,5,4,5,5,6,5,2,2,4,3,1,3,2,1,2,2,1,1,2,1938,2,4,__NA__,3,1,__NA__,4,3,5,__NA__,2,3,5,3,1,__NA__,9,3,2,2,1,33
152542905,4,1,5,1,2,3,3,3,5,1,2,1,4,2,8,2,1,4,8,1989,1,4,__NA__,3,1, ,5,5,8,__NA__,1,2,3,3,1, ,3,3,2,97,1,24
152543671,4,1,4,6,6,4,6,1,3,1,1,1,2,4,5,1,2,2,2,1971,2,3,__NA__,3,1,__NA__,3,1,1,__NA__,1,1,6,3,1,__NA__,5,2,1,10,1,36
152560888,2,6,2,2,6,6,3,5,4,3,2,1,4,2,5,2,1,4,3,1956,1,3,__NA__,3,1,__NA__,2,3,1,__NA__,1,2,5,3,1,__NA__,4,3,1,3,1,42
152582001,6,5,1,1,3,6,4,3,3,1,2,2,4,2,1,2,2,1,2,1964,2,5,__NA__,3,2,__NA__,6,1,4,__NA__,1,1,1,1,1,__NA__,1,4,2,11,1,48
152604117,6,2,4,1,4,2,2,3,5,2,2,1,4,2,5,2,1,4,2,1937,2,3,__NA__,3,1,__NA__,5,1,9,__NA__,2,2,2,1,2,__NA__,99,2,1,5,1,24
152627548,6,1,6,5,6,6,6,1,6,6,2,1,4,2,5,2,1,4,2,1979,1,3,__NA__,4,3,__NA__,5,5,9,__NA__,2,4,6,7,9,__NA__,99,1,1,4,1,48
152633217,5,6,6,5,6,6,6,5,4,2,2,1,4,2,5,2,1,4,2,1957,1,3,__NA__,3,3,__NA__,2,3,4,__NA__,2,1,6,6,11,__NA__,99,3,1,1,2,29
152638015,6,1,4,2,6,6,5,3,6,1,2,1,4,2,5,3,1,4,2,1985,2,3,__NA__,3,1,__NA__,6,1,1,__NA__,2,1,2,3,2,__NA__,99,3,2,9,2,36
152659897,4,3,1,4,5,5,5,4,4,6,2,1,4,2,5,2,1,4,2,1946,1,3,__NA__,3,2,__NA__,5,5,5,__NA__,2,2,5,6,1,__NA__,7,4,1,4,1,26
152672320,6,1,4,5,6,6,6,3,5,2,2,1,4,8,4,2,1,4,2,1942,1,3,__NA__,3,1,__NA__,2,1,2,__NA__,2,4,6,7,9,__NA__,99,1,1,4,1,48
152682977,6,6,6,4,6,6,6,6,6,2,3,2,4,5,2,2,1,1,3,1957,1,4,__NA__,3,1,__NA__,2,3,4,__NA__,2,2,5,5,5,__NA__,99,3,2,3,1,37
152718171,6,1,6,1,6,6,5,4,6,1,2,8,4,2,5,1,1,4,2,1954,2,3,__NA__,3,7,__NA__,5,1,2,__NA__,2,3,6,3,12,__NA__,99,1,1,12,1,25
152720594,1,5,6,3,6,6,3,4,6,4,1,1,4,2,5,2,1,4,2,1975,2,3,__NA__,3,1,__NA__,5,5,1,__NA__,2,4,6,7,9,__NA__,99,2,1,4,1,49
152754554,6,3,4,4,6,6,5,3,6,1,2,1,4,2,5,2,1,4,2,1934,2,3,__NA__,3,3,__NA__,6,3,5,__NA__,2,4,6,6,12,__NA__,99,2,1,2,1,41
152951135,6,1,4,5,6,5,4,1,6,1,1,1,4,2,5,2,1,4,2,1993,1,4,__NA__,3,1,__NA__,3,5,8,__NA__,2,4,4,6,11,__NA__,12,2,2,11,1,6
152969826,3,2,6,6,5,4,3,3,4,3,2,1,4,2,5,2,1,4,2,1961,1,3,__NA__,3,1,__NA__,5,1,1,__NA__,2,4,6,7,10,__NA__,99,3,2,11,1,8
153016633,6,2,1,1,6,1,2,6,1,4,3,3,3,3,1,2,3,1,3,1957,2,4,__NA__,3,2,__NA__,2,1,1,__NA__,1,1,5,1,1,baptist,1,6,4,1,1,17
153045523,1,6,4,8,5,5,6,2,6,2,1,1,1,2,5,2,2,4,2,1961,2,4,__NA__,3,1,__NA__,2,3,1,__NA__,2,2,3,5,1,__NA__,4,3,2,4,1,46
